time,open,high,low,close,volume
2026-09-03T10:25:00Z,625,20260903,0,1,0
2026-09-04T10:26:00Z,626,20260904,0,1,0
2026-09-05T10:27:00Z,627,20260905,0,1,0
2026-09-06T10:28:00Z,628,20260906,0,1,0
2026-09-07T10:29:00Z,629,20260907,0,1,0
2026-09-08T10:29:00Z,629,20260908,0,2,0
2026-09-09T10:30:00Z,630,20260909,0,2,0
2026-09-10T10:31:00Z,631,20260910,0,1,0
2026-09-11T10:32:00Z,632,20260911,0,1,0
2026-09-12T10:33:00Z,633,20260912,0,1,0
2026-09-13T10:34:00Z,634,20260913,0,1,0
2026-09-14T10:35:00Z,635,20260914,0,1,0
