time,open,high,low,close,volume
2026-09-03T05:16:00Z,616,0,20260903,2,0
2026-09-04T05:17:00Z,617,0,20260904,1,0
2026-09-05T05:19:00Z,619,0,20260905,2,0
2026-09-06T05:20:00Z,620,0,20260906,1,0
2026-09-07T05:22:00Z,622,0,20260907,1,0
2026-09-08T05:24:00Z,624,0,20260908,2,0
2026-09-09T05:25:00Z,625,0,20260909,1,0
2026-09-10T05:27:00Z,627,0,20260910,2,0
2026-09-11T05:28:00Z,628,0,20260911,1,0
2026-09-12T05:30:00Z,630,0,20260912,1,0
2026-09-13T05:32:00Z,632,0,20260913,2,0
2026-09-14T05:33:00Z,633,0,20260914,1,0
