time,open,high,low,close,volume
2026-09-02T20:14:00Z,514,20260903,0,2,0
2026-09-03T20:15:00Z,515,20260904,0,2,0
2026-09-04T20:15:00Z,515,20260905,0,1,0
2026-09-05T20:16:00Z,516,20260906,0,1,0
2026-09-06T20:17:00Z,517,20260907,0,1,0
2026-09-07T20:18:00Z,518,20260908,0,2,0
2026-09-08T20:18:00Z,518,20260909,0,1,0
2026-09-09T20:19:00Z,519,20260910,0,1,0
2026-09-10T20:20:00Z,520,20260911,0,1,0
2026-09-11T20:21:00Z,521,20260912,0,2,0
2026-09-12T20:21:00Z,521,20260913,0,1,0
2026-09-13T20:22:00Z,522,20260914,0,1,0
