time,open,high,low,close,volume
2026-09-03T10:25:00Z,625,0,20260903,1,0
2026-09-04T10:26:00Z,626,0,20260904,1,0
2026-09-05T10:27:00Z,627,0,20260905,1,0
2026-09-06T10:28:00Z,628,0,20260906,1,0
2026-09-07T10:29:00Z,629,0,20260907,1,0
2026-09-08T10:29:00Z,629,0,20260908,2,0
2026-09-09T10:30:00Z,630,0,20260909,2,0
2026-09-10T10:31:00Z,631,0,20260910,1,0
2026-09-11T10:32:00Z,632,0,20260911,1,0
2026-09-12T10:33:00Z,633,0,20260912,1,0
2026-09-13T10:34:00Z,634,0,20260913,1,0
2026-09-14T10:35:00Z,635,0,20260914,1,0
