time,open,high,low,close,volume
2026-09-02T20:14:00Z,514,0,20260903,2,0
2026-09-03T20:15:00Z,515,0,20260904,2,0
2026-09-04T20:15:00Z,515,0,20260905,1,0
2026-09-05T20:16:00Z,516,0,20260906,1,0
2026-09-06T20:17:00Z,517,0,20260907,1,0
2026-09-07T20:18:00Z,518,0,20260908,2,0
2026-09-08T20:18:00Z,518,0,20260909,1,0
2026-09-09T20:19:00Z,519,0,20260910,1,0
2026-09-10T20:20:00Z,520,0,20260911,1,0
2026-09-11T20:21:00Z,521,0,20260912,2,0
2026-09-12T20:21:00Z,521,0,20260913,1,0
2026-09-13T20:22:00Z,522,0,20260914,1,0
