time,open,high,low,close,volume
2026-09-03T05:16:00Z,616,20260903,0,2,1
2026-09-04T05:17:00Z,617,20260904,0,1,1
2026-09-05T05:19:00Z,619,20260905,0,2,1
2026-09-06T05:20:00Z,620,20260906,0,1,1
2026-09-07T05:22:00Z,622,20260907,0,1,1
2026-09-08T05:24:00Z,624,20260908,0,2,1
2026-09-09T05:25:00Z,625,20260909,0,1,1
2026-09-10T05:27:00Z,627,20260910,0,2,1
2026-09-11T05:28:00Z,628,20260911,0,1,1
2026-09-12T05:30:00Z,630,20260912,0,1,1
2026-09-13T05:32:00Z,632,20260913,0,2,1
2026-09-14T05:33:00Z,633,20260914,0,1,1
